Subject,Start Date,Start Time,End Date,End Time,Description
Workshop,10/10/2023,09:00 AM,10/10/2023,10:00 AM,
Conference,10/12/2023,12:00 AM,10/12/2023,11:59 PM,
Conference,10/14/2023,12:00 PM,10/14/2023,11:59 PM,
Conference,10/15/2023,12:00 AM,10/15/2023,05:00 PM,
Standup,10/17/2023,09:00 AM,10/27/2023,09:30 AM,NewDescription
Standup,10/19/2023,09:00 AM,10/29/2023,09:30 AM,NewDescription
Standup,10/24/2023,09:00 AM,11/03/2023,09:30 AM,NewDescription
Standup,10/26/2023,09:00 AM,11/05/2023,09:30 AM,NewDescription
Standup,10/31/2023,09:00 AM,11/10/2023,09:30 AM,NewDescription
Review,11/14/2023,12:00 AM,11/14/2023,11:59 PM,
Review,11/16/2023,12:00 AM,11/16/2023,11:59 PM,
Review,11/21/2023,12:00 AM,11/21/2023,11:59 PM,
Review,11/23/2023,12:00 AM,11/23/2023,11:59 PM,
Review,11/28/2023,12:00 AM,11/28/2023,11:59 PM,
Review,11/30/2023,12:00 AM,11/30/2023,11:59 PM,
OldReview,12/12/2023,10:00 AM,12/12/2023,11:00 AM,
OldReview,12/14/2023,10:00 AM,12/14/2023,11:00 AM,
CodeReview,12/19/2023,10:00 AM,12/19/2023,11:00 AM,
CodeReview,12/21/2023,10:00 AM,12/21/2023,11:00 AM,
CodeReview,12/26/2023,10:00 AM,12/26/2023,11:00 AM,
CodeReview,12/28/2023,10:00 AM,12/28/2023,11:00 AM,
